Scientific name,Latitude,Longitude
Sabal mexicana,20.97129,-89.62242
Sabal mexicana,20.9713,-89.62241
Sabal mexicana,20.97128,-89.62237
Sabal mexicana,20.97128,-89.62238
Sabal mexicana,20.97127,-89.62238
Melicoccus bijugatus,20.97123,-89.62238
Thrinax radiata,20.97118,-89.6224
Roystonea regia,20.9712,-89.62239
Sabal mexicana,20.97118,-89.62237
Thrinax radiata,20.97119,-89.62239
Leucaena leucocephala,20.97119,-89.62238
Thrinax radiata,20.97117,-89.62241
Sabal mexicana,20.97116,-89.62236
Thrinax radiata,20.97116,-89.62238
Sabal mexicana,20.97115,-89.62242
Sabal mexicana,20.97116,-89.62241
Sabal mexicana,20.97113,-89.62244
Sabal mexicana,20.97106,-89.62247
Sabal mexicana,20.97107,-89.62243
Sabal mexicana,20.97104,-89.62247
Melicoccus bijugatus,20.97105,-89.62245
Melicoccus bijugatus,20.97106,-89.62247
Thrinax radiata,20.97106,-89.62254
Thrinax radiata,20.97103,-89.62258
Roystonea regia,20.97102,-89.6226
Thrinax radiata,20.97105,-89.62262
Thrinax radiata,20.97105,-89.62261
Sabal mexicana,20.97112,-89.62268
Thrinax radiata,20.97103,-89.62266
Thrinax radiata,20.97105,-89.62265
Melicoccus bijugatus,20.97104,-89.62267
Thrinax radiata,20.97104,-89.62269
Sabal mexicana,20.97104,-89.62271
Melicoccus bijugatus,20.97109,-89.6228
Melicoccus bijugatus,20.97123,-89.62276
Melicoccus bijugatus,20.97132,-89.62263
Melicoccus bijugatus,20.97129,-89.62245
Sabal mexicana,20.97131,-89.62244
Roystonea regia,20.97131,-89.62249
Roystonea regia,20.97129,-89.62251
Dypsis lutescens,20.97125,-89.62251
Roystonea regia,20.97121,-89.62259
Roystonea regia,20.97113,-89.62266
Roystonea regia,20.97113,-89.62264
Roystonea regia,20.97117,-89.62261
Roystonea regia,20.97118,-89.62263
Roystonea regia,20.97117,-89.62265
Roystonea regia,20.97117,-89.62268
Roystonea regia,20.97114,-89.62257
Roystonea regia,20.97115,-89.62257
Thrinax radiata,20.97116,-89.62254
Thrinax radiata,20.97115,-89.62254
Ficus,20.96729,-89.62381
Melicoccus bijugatus,20.96247,-89.62546
Araucaria,20.96237,-89.62544
Adonidia merrilli,20.96231,-89.62543
Melicoccus bijugatus,20.96231,-89.62544
Yucca aloifolia,20.96232,-89.62553
Sabal mexicana,20.96231,-89.62559
Sabal mexicana,20.96231,-89.6256
Roystonea regia,20.96232,-89.62561
Delonix regia,20.96236,-89.62563
Roystonea regia,20.9624,-89.62563
Syagrus romanzoffiana,20.9625,-89.62568
Melicoccus bijugatus,20.96248,-89.62589
Sabal mexicana,20.96237,-89.62585
Sabal mexicana,20.96236,-89.62585
Albizia lebbeck,20.96231,-89.62587
Syagrus romanzoffiana,20.96247,-89.62604
Terminalia catappa,20.96256,-89.6261
Terminalia catappa,20.96249,-89.62612
Delonix regia,20.96249,-89.62612
Magnoliopsida,20.96239,-89.62618
Thrinax radiata,20.9626,-89.6262
Citrus aurantium,20.9626,-89.62618
Delonix regia,20.9626,-89.62622
Delonix regia,20.96252,-89.62621
Delonix regia,20.9624,-89.62626
Delonix regia,20.96238,-89.62633
